simulation_time	physical_time	family_loads.Local_DHN.LTH.minimum_energy	
131	2019-01-06 11:00:00	0	
132	2019-01-06 12:00:00	0	
133	2019-01-06 13:00:00	0	
134	2019-01-06 14:00:00	0	
135	2019-01-06 15:00:00	0	
136	2019-01-06 16:00:00	0	
137	2019-01-06 17:00:00	0	
138	2019-01-06 18:00:00	0	
139	2019-01-06 19:00:00	0	
140	2019-01-06 20:00:00	0	
141	2019-01-06 21:00:00	0	
142	2019-01-06 22:00:00	0	
143	2019-01-06 23:00:00	0	
144	2019-01-07 00:00:00	0	
145	2019-01-07 01:00:00	0	
146	2019-01-07 02:00:00	0	
147	2019-01-07 03:00:00	0	
148	2019-01-07 04:00:00	0	
149	2019-01-07 05:00:00	0	
150	2019-01-07 06:00:00	0	
151	2019-01-07 07:00:00	0	
152	2019-01-07 08:00:00	0	
153	2019-01-07 09:00:00	0	
154	2019-01-07 10:00:00	0	
155	2019-01-07 11:00:00	0	
156	2019-01-07 12:00:00	0	
157	2019-01-07 13:00:00	0	
158	2019-01-07 14:00:00	0	
159	2019-01-07 15:00:00	0	
160	2019-01-07 16:00:00	0	
161	2019-01-07 17:00:00	0	
162	2019-01-07 18:00:00	0	
163	2019-01-07 19:00:00	0	
164	2019-01-07 20:00:00	0	
165	2019-01-07 21:00:00	0	
166	2019-01-07 22:00:00	0	
167	2019-01-07 23:00:00	0	
168	2019-01-08 00:00:00	0	
